model,cell,TF,r
Ensembles,HT29,Q16665,0.688065007693981
Ensembles,HT29,Q92731,0.425629394582779
Ensembles,HT29,Q99626,0.161584205967491
Ensembles,HT29,Q99814,0.626767815815059
Ensembles,HT29,Q9H3D4,0.164425554762926
Ensembles,HT29,Q9NQB0,0.501523137997838
Ensembles,HT29,Q9UJU2,0.617969999597475
Ensembles,HT29,Q9Y261,0.0207918720520866
Ensembles,MCF7,O00327,0.202459561858928
Ensembles,MCF7,O00716,0.542742010537323
Ensembles,MCF7,O14593,0.0106279503698369
Ensembles,MCF7,O43524,0.453276902114245
Ensembles,MCF7,O75030,0.22662602308256
Ensembles,MCF7,P01100,0.0679607978899773
Ensembles,MCF7,P01106,0.201561976996284
Ensembles,MCF7,P03372,0.458351131395843
Ensembles,MCF7,P04150,-0.0650609646818778
Ensembles,MCF7,P04637,0.219299503942374
Ensembles,MCF7,P05412,-0.0872299602267069
Ensembles,MCF7,P05549,0.23495646561754
Ensembles,MCF7,P06401,-0.0995561118276667
Ensembles,MCF7,P08047,0.253219647992839
Ensembles,MCF7,P08651,0.0700747780883924
Ensembles,MCF7,P10070,0.186403105461216
Ensembles,MCF7,P10242,0.389187310827337
Ensembles,MCF7,P10275,-0.0757382813804419
Ensembles,MCF7,P10276,0.162908357993519
Ensembles,MCF7,P10914,0.252085046483318
Ensembles,MCF7,P11308,-0.119019458877174
Ensembles,MCF7,P11473,0.514713534218775
Ensembles,MCF7,P11831,0.0915576424008379
Ensembles,MCF7,P14859,-0.0141968453852096
Ensembles,MCF7,P14921,0.0882835567612874
Ensembles,MCF7,P15036,0.0899338291094336
Ensembles,MCF7,P15336,0.416604340462801
Ensembles,MCF7,P15407,0.176204255919737
Ensembles,MCF7,P15923,-0.0245531014109229
Ensembles,MCF7,P15976,0.405556864622208
Ensembles,MCF7,P16220,0.385394495275143
Ensembles,MCF7,P17535,-0.155083481223521
Ensembles,MCF7,P17542,-0.0573232713236169
Ensembles,MCF7,P17676,0.10934801709225
Ensembles,MCF7,P17947,0.118762893246145
Ensembles,MCF7,P18146,0.292968097170674
Ensembles,MCF7,P18846,-0.178394448374245
Ensembles,MCF7,P18848,0.466672764047227
Ensembles,MCF7,P18850,0.101963527121808
Ensembles,MCF7,P19419,0.611723703676374
Ensembles,MCF7,P19544,-0.032517394000515
Ensembles,MCF7,P19793,0.0569551482213825
Ensembles,MCF7,P19838,0.103497306170743
Ensembles,MCF7,P22415,0.01444326101308
Ensembles,MCF7,P23511,-0.17168433249983
Ensembles,MCF7,P23769,-0.110381340357
Ensembles,MCF7,P23771,-0.115533983945262
Ensembles,MCF7,P25490,0.313397365409004
Ensembles,MCF7,P26367,0.00382144905165386
Ensembles,MCF7,P36956,0.175030134593824
Ensembles,MCF7,P37231,0.0895973642865727
Ensembles,MCF7,P37275,-0.188744467653017
Ensembles,MCF7,P40763,0.340831713582048
Ensembles,MCF7,P41235,0.158474415145991
Ensembles,MCF7,P42224,0.237852531174841
Ensembles,MCF7,P42226,0.107703845307805
Ensembles,MCF7,P42229,0.199580297008248
Ensembles,MCF7,P48382,-0.0126488616117704
Ensembles,MCF7,P48431,-0.111992347179606
Ensembles,MCF7,P48436,0.105510704849553
Ensembles,MCF7,P49715,-0.221202852354835
Ensembles,MCF7,P49716,0.42314571184419
Ensembles,MCF7,P51692,0.232225432200275
Ensembles,MCF7,P52630,0.291319402736229
Ensembles,MCF7,P55317,0.0786756960004438
Ensembles,MCF7,P56693,0.421380283570101
Ensembles,MCF7,P58012,0.209256632411015
Ensembles,MCF7,P84022,0.0731132450381079
Ensembles,MCF7,P98177,0.317765698885275
Ensembles,MCF7,Q00613,-0.080122175312371
Ensembles,MCF7,Q00653,0.244160539889379
Ensembles,MCF7,Q00978,0.338432079588245
Ensembles,MCF7,Q01094,0.227542736890302
Ensembles,MCF7,Q01196,0.102870667760837
Ensembles,MCF7,Q01201,-0.235726439972352
Ensembles,MCF7,Q01543,0.0313623967442291
Ensembles,MCF7,Q02447,0.0581883415697414
Ensembles,MCF7,Q04206,0.0456721111029107
Ensembles,MCF7,Q04864,0.230406486734359
Ensembles,MCF7,Q06710,0.180112495185049
Ensembles,MCF7,Q07869,-0.199773939066843
Ensembles,MCF7,Q08050,0.40520569995256
Ensembles,MCF7,Q12772,0.03604929036989
Ensembles,MCF7,Q12778,0.167758171269252
Ensembles,MCF7,Q13127,0.244915201496581
Ensembles,MCF7,Q13469,0.238583674639434
Ensembles,MCF7,Q13485,0.236538395619062
Ensembles,MCF7,Q13761,0.0155161104562618
Ensembles,MCF7,Q14186,-0.0645673183517836
Ensembles,MCF7,Q14209,0.587493530347535
Ensembles,MCF7,Q14765,0.195844475836191
Ensembles,MCF7,Q15672,0.10340789223962
Ensembles,MCF7,Q16236,0.11715062743507
Ensembles,MCF7,Q16665,0.501882871106958
