"","smile","sig_id"
"131","CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1","CPC014_HEPG2_6H:BRD-K71035033-001-01-4:10"
"132","CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1","CPC014_HT29_6H:BRD-K71035033-001-01-4:10"
"133","CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1","CPC014_MCF7_6H:BRD-K71035033-001-01-4:10"
"134","CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1","CPC014_PC3_6H:BRD-K71035033-001-01-4:10"
"135","CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1","CPC014_VCAP_6H:BRD-K71035033-001-01-4:10"
"136","Clc1ccc(Cl)c(SCC(=O)N\N=C\c2ccc[nH]2)c1","CPC008_A549_6H:BRD-K92817986-001-03-3:10"
"137","Clc1ccc(Cl)c(SCC(=O)N\N=C\c2ccc[nH]2)c1","CPC008_HCC515_6H:BRD-K92817986-001-03-3:10"
"138","Clc1ccc(Cl)c(SCC(=O)N\N=C\c2ccc[nH]2)c1","CPC019_A375_6H:BRD-K92817986-001-01-7:10"
"139","Clc1ccc(Cl)c(SCC(=O)N\N=C\c2ccc[nH]2)c1","CPC019_HA1E_6H:BRD-K92817986-001-01-7:10"
"140","Clc1ccc(Cl)c(SCC(=O)N\N=C\c2ccc[nH]2)c1","CPC019_HEPG2_6H:BRD-K92817986-001-01-7:10"
"141","Clc1ccc(Cl)c(SCC(=O)N\N=C\c2ccc[nH]2)c1","CPC019_HT29_6H:BRD-K92817986-001-01-7:10"
"142","Clc1ccc(Cl)c(SCC(=O)N\N=C\c2ccc[nH]2)c1","CPC019_MCF7_6H:BRD-K92817986-001-01-7:10"
"143","Clc1ccc(Cl)c(SCC(=O)N\N=C\c2ccc[nH]2)c1","CPC019_PC3_6H:BRD-K92817986-001-01-7:10"
"144","Clc1ccc(Cl)c(SCC(=O)N\N=C\c2ccc[nH]2)c1","CPC019_VCAP_6H:BRD-K92817986-001-01-7:10"
"145","CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C","CPC006_A375_6H:BRD-K85606544-001-01-8:10"
"146","CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C","CPC006_A549_6H:BRD-K85606544-001-01-8:10"
"147","CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C","CPC006_HA1E_6H:BRD-K85606544-001-01-8:10"
"148","CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C","CPC006_HCC515_6H:BRD-K85606544-001-01-8:10"
"149","CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C","CPC006_HEPG2_6H:BRD-K85606544-001-01-8:10"
"150","CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C","CPC006_HT29_6H:BRD-K85606544-001-01-8:10"
"151","CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C","CPC006_PC3_6H:BRD-K85606544-001-01-8:10"
"152","CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C","CPC006_VCAP_6H:BRD-K85606544-001-01-8:10"
"153","CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C","LJP001_MCF7_6H:BRD-K85606544-001-04-2:10"
"154","Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O","CPC001_HA1E_6H:BRD-A64227845-004-02-8:10"
"155","Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O","CPC001_HCC515_6H:BRD-A64227845-004-02-8:10"
"156","Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O","CPC001_PC3_6H:BRD-A64227845-004-02-8:10"
"157","Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O","CPC001_VCAP_6H:BRD-A64227845-004-02-8:10"
"158","Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O","CPC016_A375_6H:BRD-A64227845-004-02-8:10"
"159","Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O","CPC016_A549_6H:BRD-A64227845-004-02-8:10"
"160","Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O","CPC016_HEPG2_6H:BRD-A64227845-004-02-8:10"
"161","Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O","CPC016_HT29_6H:BRD-A64227845-004-02-8:10"
"162","Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O","CPC016_MCF7_6H:BRD-A64227845-004-02-8:10"
"163","COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O[C@@H]6CCCCO6)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO","CPC014_A375_6H:BRD-K83794624-001-01-7:10"
